
col,row,width,height,ranges,nanos
2193,70961,22709,30341,29154,228515000
38545,68005,63688,51502,65173,342499000
13306,90561,1169,40362,11875,58181000
23500,110122,1756,56479,28003,132163000
63087,81268,9888,25236,13881,65335000
38724,67822,27810,29653,34459,161068000
51319,28427,33555,1101,10373,50409000
62977,51493,24657,26618,33920,159749000
5069,86390,31690,30599,36685,193174000
23013,77135,43188,39389,31156,149167000
58304,23119,48055,6522,19446,90795000
14183,58823,43597,8494,24813,115698000
8983,51074,25046,46850,36019,160082000
47045,83806,22586,57434,32114,143860000
32342,90577,44017,40481,18718,178397000
32303,51048,25078,648,10115,95847000
15993,57582,49550,26836,39606,180251000
21067,60532,7869,28502,25722,115714000
12346,46603,50592,43292,47858,223685000
50587,16559,28328,14550,18031,86948000
875,52875,15076,22100,15795,69682000
60123,110191,27619,47607,37739,169625000
31102,53228,18672,45926,36172,162834000
27742,83732,63500,19939,58951,272462000
27472,56979,55442,38748,41512,192110000
62533,50986,52760,46296,55599,276323000
34833,18933,17576,13909,11330,53065000
15307,51051,58346,48537,43652,200890000
28094,46803,1834,16110,9944,47163000
17836,76651,39898,56339,32068,147997000
13530,62924,7198,29740,19587,87219000
30992,70343,32353,59515,17008,80380000
52933,40323,48451,38112,51536,233953000
60554,66570,55395,37991,56247,251176000
49282,74163,965,45436,11323,52039000
58979,104203,13005,48310,42111,191306000
29599,56514,32815,10407,32565,150299000
40830,61283,42569,46030,30480,137159000
2953,85828,31268,20382,29327,136569000
46416,88735,26376,24265,14915,70048000
19543,43901,9710,21926,17821,82251000
47110,75389,31526,39696,39982,188906000
39192,26479,46176,24286,28747,131358000
41151,67775,49410,8888,24034,107611000
53220,73254,9490,60780,34272,159576000
62113,91697,41208,27817,25454,114656000
45409,64876,49375,13678,37912,172171000
37975,91323,14619,55939,43915,202971000
25543,93659,29919,48801,45047,200870000
32009,80481,40688,58057,42503,191401000
54010,68469,43150,51099,44728,212492000
21043,53434,1479,46397,35843,160799000
63275,96305,32533,57789,52675,237267000
11749,107895,37329,49078,52385,238699000
19204,12205,40414,8714,26714,127026000
38779,116768,26493,65217,68860,316808000
62810,90467,16377,54758,23111,104621000
41531,63185,44680,9910,29854,134676000
3671,103758,47260,53284,51543,259041000
65235,18935,47805,8765,17912,84123000
19252,98400,15423,64015,23187,103680000
36847,101428,30172,37070,34578,158154000
43591,66947,25685,52200,50845,233402000
48303,78951,41383,33933,35165,160129000
4300,36074,34380,14249,32570,150480000
60236,66369,4373,58840,18758,85427000
36579,2997,30203,2273,10151,48454000
49146,96777,2827,34285,14273,60422000
61879,56815,16445,24149,21526,101096000
46306,36058,58021,18534,31552,145617000
54752,96786,26947,52886,18111,80044000
31036,22032,60063,10382,35762,162270000
22197,93731,15749,51739,41082,207040000
63085,91050,15911,48987,48694,221693000
40551,5156,2304,1974,2152,9049000
50622,40314,33079,10632,22577,102299000
47024,30984,259,14661,1922,8590000
54822,85350,7726,25568,18829,84500000
52625,112129,23505,56909,49165,237252000
