
col,row,width,height,ranges,nanos
14732,47114,9000,9000,9175,62408000
7274,31806,9000,9000,10303,53064000
54279,56291,9000,9000,7780,39416000
2465,48765,9000,9000,10024,46611000
64419,10671,9000,9000,7941,52229000
36174,47945,9000,9000,10021,44862000
7359,32625,9000,9000,9029,44063000
2934,72625,9000,9000,10179,53993000
36207,37650,9000,9000,8808,51047000
59607,13831,9000,9000,7185,69002000
61062,10121,9000,9000,10213,46850000
43598,22404,9000,9000,9330,46987000
53612,31576,9000,9000,7827,36556000
35831,43403,9000,9000,7768,37648000
58750,44271,9000,9000,8635,44451000
25031,50151,9000,9000,7314,46876000
49761,38752,9000,9000,8892,53376000
4127,71756,9000,9000,7980,75952000
52453,50673,9000,9000,10115,48542000
61972,49737,9000,9000,9351,44927000
14996,65631,9000,9000,7767,36584000
3179,34465,9000,9000,9271,50282000
65412,62626,9000,9000,9169,47766000
22456,12558,9000,9000,8869,40108000
22447,10036,9000,9000,7900,38933000
6160,25718,9000,9000,8623,43155000
61273,38329,9000,9000,10076,48146000
36361,21099,9000,9000,9337,51287000
52252,45371,9000,9000,8465,80462000
34540,15936,9000,9000,7970,75874000
48591,15212,9000,9000,8095,76908000
8910,74396,9000,9000,9321,45041000
58524,18813,9000,9000,9220,44918000
25983,49380,9000,9000,7867,36158000
24033,28754,9000,9000,10132,48627000
7382,25357,9000,9000,9801,48542000
37434,52782,9000,9000,10097,45347000
6783,68020,9000,9000,7975,39718000
41635,54160,9000,9000,7999,35671000
49613,27423,9000,9000,8390,38533000
50028,49249,9000,9000,9138,45260000
28028,42883,9000,9000,8444,40203000
19138,53331,9000,9000,9298,44190000
59947,67156,9000,9000,8441,42879000
52728,22429,9000,9000,8730,44662000
49714,68155,9000,9000,9332,45093000
17734,62135,9000,9000,8799,39302000
4572,18150,9000,9000,9298,45504000
37818,28099,9000,9000,9198,44270000
15108,32143,9000,9000,7810,39704000
22797,39438,9000,9000,10298,45506000
29426,33678,9000,9000,10223,51202000
35208,46829,9000,9000,8860,41011000
24978,14233,9000,9000,10095,48626000
6096,61529,9000,9000,8612,41552000
45523,35713,9000,9000,9315,43633000
26332,30152,9000,9000,7723,34375000
32234,44991,9000,9000,8501,42540000
45767,9964,9000,9000,7776,35031000
61944,70914,9000,9000,8855,44704000
16691,25742,9000,9000,9196,41477000
6797,64341,9000,9000,10161,49740000
19158,58522,9000,9000,10102,50463000
17428,13656,9000,9000,7744,37699000
21911,42623,9000,9000,6744,30770000
24759,40525,9000,9000,8594,41282000
42176,69966,9000,9000,8488,41245000
62444,17609,9000,9000,9354,45642000
5947,51968,9000,9000,8170,37720000
9287,19759,9000,9000,7150,38083000
33557,71943,9000,9000,8787,43749000
14954,29394,9000,9000,10165,47896000
628,47896,9000,9000,7721,39684000
9398,60614,9000,9000,10293,55365000
6220,54245,9000,9000,9260,53074000
43254,52811,9000,9000,9327,48411000
39223,37323,9000,9000,7679,38205000
22410,31189,9000,9000,10043,49421000
9068,19908,9000,9000,8411,39296000
27332,65208,9000,9000,7842,41893000
10347,71774,9000,9000,9272,44294000
64636,59774,9000,9000,9225,42545000
64831,72913,9000,9000,8923,43114000
22845,67627,9000,9000,9379,45279000
1441,57042,9000,9000,10161,52128000
56046,59614,9000,9000,10005,55532000
37820,73491,9000,9000,8423,44523000
14041,26061,9000,9000,10239,50152000
51642,40799,9000,9000,8566,42108000
52881,14610,9000,9000,10158,52566000
35077,47607,9000,9000,8880,46090000
2330,37052,9000,9000,9369,45750000
16551,63355,9000,9000,7887,40652000
50656,15237,9000,9000,8770,43386000
11143,55371,9000,9000,7887,40409000
5128,46557,9000,9000,8910,39530000
57126,10861,9000,9000,10041,49959000
29458,49768,9000,9000,8533,38500000
6573,16720,9000,9000,8755,45607000
63716,17756,9000,9000,8480,42327000
16265,65165,9000,9000,10350,51816000
14086,63940,9000,9000,9098,44810000
15701,47777,9000,9000,9925,50270000
48117,69282,9000,9000,10254,46641000
35823,14322,9000,9000,8737,40397000
41078,65526,9000,9000,10405,51837000
36392,68914,9000,9000,8827,45406000
17277,29500,9000,9000,9136,48605000
41465,22201,9000,9000,10118,47342000
14292,47023,9000,9000,7840,42462000
11861,12128,9000,9000,8828,44272000
16835,40781,9000,9000,9248,48798000
55092,11698,9000,9000,9175,48934000
5312,23397,9000,9000,8610,46039000
65344,53714,9000,9000,8511,43653000
28176,44673,9000,9000,8707,41746000
31063,30007,9000,9000,7186,32107000
56369,10562,9000,9000,10184,48585000
35752,34413,9000,9000,8899,44492000
45799,50585,9000,9000,8692,46405000
49059,32376,9000,9000,7907,34663000
39381,69820,9000,9000,9258,43736000
63200,63089,9000,9000,8640,44134000
17075,53942,9000,9000,9248,48915000
56768,43762,9000,9000,8452,43840000
23174,65275,9000,9000,9367,47629000
44369,49974,9000,9000,10234,48572000
52719,17824,9000,9000,7585,42678000
10909,54105,9000,9000,10503,48053000
19644,18101,9000,9000,9190,42503000
36284,64001,9000,9000,9185,43694000
52949,24073,9000,9000,10204,52259000
59707,40470,9000,9000,9328,47900000
23967,41454,9000,9000,8866,44846000
44222,37739,9000,9000,9699,47707000
46276,60405,9000,9000,9275,43237000
46128,10486,9000,9000,8604,42031000
4342,37354,9000,9000,10090,46239000
14728,32827,9000,9000,7807,37026000
54698,40645,9000,9000,10080,48877000
401,55574,9000,9000,10162,50951000
36658,64053,9000,9000,10094,53043000
17253,56349,9000,9000,10092,50409000
21307,23971,9000,9000,8422,41048000
49558,39026,9000,9000,10147,49886000
21061,63728,9000,9000,8825,46589000
36905,12640,9000,9000,8983,43308000
30205,67837,9000,9000,10060,48250000
392,63340,9000,9000,7916,35685000
20207,22246,9000,9000,8870,41662000
35810,21280,9000,9000,8877,44181000
32248,25629,9000,9000,8641,43010000
27668,17153,9000,9000,9149,41299000
10374,51108,9000,9000,9273,43158000
54955,23589,9000,9000,9368,42787000
10788,32872,9000,9000,7426,34271000
53908,37798,9000,9000,9256,41385000
46960,21234,9000,9000,8644,42430000
40594,23506,9000,9000,10131,50197000
37121,42309,9000,9000,10271,49108000
58985,36424,9000,9000,8611,44134000
39536,69665,9000,9000,8670,42406000
56538,18057,9000,9000,8975,49928000
42986,28882,9000,9000,10126,45361000
24632,11662,9000,9000,8807,41508000
30589,11918,9000,9000,10286,48083000
39082,55205,9000,9000,10065,47666000
36993,29192,9000,9000,8388,41233000
58159,36597,9000,9000,8891,44023000
7526,41021,9000,9000,10027,44991000
26823,20376,9000,9000,7152,31756000
32195,13748,9000,9000,8497,38843000
32431,51844,9000,9000,7999,35269000
41818,35102,9000,9000,10069,49184000
51998,52226,9000,9000,10305,50219000
33167,10308,9000,9000,8047,37798000
16075,9796,9000,9000,8387,40425000
35243,29311,9000,9000,7618,38313000
20394,29005,9000,9000,10053,48629000
39307,36801,9000,9000,9163,46190000
26250,70978,9000,9000,10140,48780000
30510,45994,9000,9000,10084,49294000
38151,43116,9000,9000,7805,36494000
56327,36588,9000,9000,7823,41288000
50153,63054,9000,9000,10189,47765000
35745,14816,9000,9000,8707,43364000
19407,22299,9000,9000,7942,41787000
11432,48526,9000,9000,8790,39111000
51041,15790,9000,9000,10213,48621000
4271,63594,9000,9000,8913,44838000
