
col,row,width,height,ranges,nanos
2193,70961,22709,30341,30342,1325000
38545,68005,63688,51502,51503,1127000
13306,90561,1169,40362,40363,813000
23500,110122,1756,56479,56480,1279000
63087,81268,9888,25236,25237,361000
38724,67822,27810,29653,29654,418000
51319,28427,33555,1101,1102,17000
62977,51493,24657,26618,26619,414000
5069,86390,31690,30599,30600,527000
23013,77135,43188,39389,39390,785000
58304,23119,48055,6522,6523,160000
14183,58823,43597,8494,8495,174000
8983,51074,25046,46850,46851,1010000
47045,83806,22586,57434,57435,940000
32342,90577,44017,40481,40482,628000
32303,51048,25078,648,649,17000
15993,57582,49550,26836,26837,489000
21067,60532,7869,28502,28503,552000
12346,46603,50592,43292,43293,1022000
50587,16559,28328,14550,14551,262000
875,52875,15076,22100,22101,688000
60123,110191,27619,47607,47608,1255000
31102,53228,18672,45926,45927,1069000
27742,83732,63500,19939,19940,411000
27472,56979,55442,38748,38749,605000
62533,50986,52760,46296,46297,800000
34833,18933,17576,13909,13910,287000
15307,51051,58346,48537,48538,1044000
28094,46803,1834,16110,16111,313000
17836,76651,39898,56339,56340,1310000
13530,62924,7198,29740,29741,392000
30992,70343,32353,59515,59516,1038000
52933,40323,48451,38112,38113,659000
60554,66570,55395,37991,37992,946000
49282,74163,965,45436,45437,795000
58979,104203,13005,48310,48311,2041000
29599,56514,32815,10407,10408,183000
40830,61283,42569,46030,46031,617000
2953,85828,31268,20382,20383,400000
46416,88735,26376,24265,24266,451000
19543,43901,9710,21926,21927,420000
47110,75389,31526,39696,39697,698000
39192,26479,46176,24286,24287,457000
41151,67775,49410,8888,8889,248000
53220,73254,9490,60780,60781,1697000
62113,91697,41208,27817,27818,962000
45409,64876,49375,13678,13679,216000
37975,91323,14619,55939,55940,2528000
25543,93659,29919,48801,48802,668000
32009,80481,40688,58057,58058,1029000
54010,68469,43150,51099,51100,1065000
21043,53434,1479,46397,46398,1358000
63275,96305,32533,57789,57790,823000
11749,107895,37329,49078,49079,860000
19204,12205,40414,8714,8715,274000
38779,116768,26493,65217,65218,1294000
62810,90467,16377,54758,54759,984000
41531,63185,44680,9910,9911,370000
3671,103758,47260,53284,53285,1787000
65235,18935,47805,8765,8766,273000
19252,98400,15423,64015,64016,881000
36847,101428,30172,37070,37071,632000
43591,66947,25685,52200,52201,945000
48303,78951,41383,33933,33934,606000
4300,36074,34380,14249,14250,448000
60236,66369,4373,58840,58841,1863000
36579,2997,30203,2273,2274,100000
49146,96777,2827,34285,34286,541000
61879,56815,16445,24149,24150,473000
46306,36058,58021,18534,18535,383000
54752,96786,26947,52886,52887,715000
31036,22032,60063,10382,10383,202000
22197,93731,15749,51739,51740,832000
63085,91050,15911,48987,48988,864000
40551,5156,2304,1974,1975,63000
50622,40314,33079,10632,10633,188000
47024,30984,259,14661,14662,259000
54822,85350,7726,25568,25569,575000
52625,112129,23505,56909,56910,1189000
15215,58568,38069,32695,32696,699000
12382,102302,64067,60132,60133,1305000
53506,80400,26381,33559,33560,591000
33484,85583,6668,31585,31586,885000
22464,17144,14922,9879,9880,241000
14913,54370,49610,9501,9502,185000
23375,60020,8667,2432,2433,62000
28253,40902,55072,25924,25925,473000
10071,22158,15009,22072,22073,310000
18022,69199,6050,30997,30998,542000
64811,42245,7399,2033,2034,41000
58164,99152,61962,46050,46051,1081000
43281,8394,21261,2951,2952,83000
18066,62830,33910,37869,37870,769000
49756,48078,32005,34918,34919,653000
29790,44494,64026,27133,27134,706000
1002,69639,61708,20765,20766,309000
10925,40073,60319,11969,11970,199000
44289,101501,12110,47411,47412,827000
1542,99295,37211,36219,36220,694000
14357,58806,39565,38809,38810,699000
607,89796,54908,62909,62910,1143000
5340,64111,29719,36909,36910,1134000
55903,55715,43253,50227,50228,1062000
5912,79849,13762,43084,43085,606000
7776,67571,18187,46510,46511,1019000
11184,108451,15249,62223,62224,1402000
34801,33863,55192,1517,1518,65000
24735,19467,21296,9615,9616,272000
63260,61448,62417,11020,11021,512000
38586,39292,2402,38677,38678,1280000
16726,73371,15227,29776,29777,611000
169,102605,37877,62423,62424,1169000
14622,61239,47412,49848,49849,1001000
26577,61424,2270,46548,46549,981000
2657,26757,63947,17912,17913,264000
48050,43699,12800,26001,26002,461000
35287,64987,6020,1662,1663,41000
6819,66846,54551,22738,22739,417000
40002,76304,49742,26470,26471,485000
31981,59978,36701,13523,13524,409000
64144,76810,53396,19427,19428,584000
21913,69431,55766,61079,61080,846000
56792,50760,28672,37719,37720,653000
58779,75310,55804,38959,38960,684000
49734,42005,14075,15538,15539,312000
28513,84950,45575,37742,37743,643000
5928,52915,48300,4132,4133,116000
22941,55227,10793,30503,30504,773000
31736,97610,56076,40249,40250,1192000
27346,73709,20563,37711,37712,959000
56108,91677,13901,29103,29104,620000
18515,96336,51091,38279,38280,528000
33701,13299,53770,9630,9631,191000
43159,30766,19740,10966,10967,198000
4653,26638,3960,849,850,20000
53359,92281,17397,42753,42754,738000
