
col,row,width,height,ranges,nanos
14732,47114,9000,9000,9001,924000
7274,31806,9000,9000,9001,918000
54279,56291,9000,9000,9001,924000
2465,48765,9000,9000,9001,227000
64419,10671,9000,9000,9001,226000
36174,47945,9000,9000,9001,235000
7359,32625,9000,9000,9001,239000
2934,72625,9000,9000,9001,230000
36207,37650,9000,9000,9001,228000
59607,13831,9000,9000,9001,238000
61062,10121,9000,9000,9001,254000
43598,22404,9000,9000,9001,236000
53612,31576,9000,9000,9001,231000
35831,43403,9000,9000,9001,237000
58750,44271,9000,9000,9001,245000
25031,50151,9000,9000,9001,257000
49761,38752,9000,9000,9001,257000
4127,71756,9000,9000,9001,176000
52453,50673,9000,9000,9001,139000
61972,49737,9000,9000,9001,114000
14996,65631,9000,9000,9001,135000
3179,34465,9000,9000,9001,123000
65412,62626,9000,9000,9001,143000
22456,12558,9000,9000,9001,154000
22447,10036,9000,9000,9001,165000
6160,25718,9000,9000,9001,178000
61273,38329,9000,9000,9001,170000
36361,21099,9000,9000,9001,144000
52252,45371,9000,9000,9001,145000
34540,15936,9000,9000,9001,156000
48591,15212,9000,9000,9001,206000
8910,74396,9000,9000,9001,157000
58524,18813,9000,9000,9001,121000
25983,49380,9000,9000,9001,134000
24033,28754,9000,9000,9001,149000
7382,25357,9000,9000,9001,167000
37434,52782,9000,9000,9001,163000
6783,68020,9000,9000,9001,169000
41635,54160,9000,9000,9001,171000
49613,27423,9000,9000,9001,173000
50028,49249,9000,9000,9001,180000
28028,42883,9000,9000,9001,247000
19138,53331,9000,9000,9001,175000
59947,67156,9000,9000,9001,199000
52728,22429,9000,9000,9001,161000
49714,68155,9000,9000,9001,162000
17734,62135,9000,9000,9001,228000
4572,18150,9000,9000,9001,200000
37818,28099,9000,9000,9001,132000
15108,32143,9000,9000,9001,143000
22797,39438,9000,9000,9001,153000
29426,33678,9000,9000,9001,161000
35208,46829,9000,9000,9001,142000
24978,14233,9000,9000,9001,150000
6096,61529,9000,9000,9001,221000
45523,35713,9000,9000,9001,152000
26332,30152,9000,9000,9001,151000
32234,44991,9000,9000,9001,152000
45767,9964,9000,9000,9001,133000
61944,70914,9000,9000,9001,136000
16691,25742,9000,9000,9001,168000
6797,64341,9000,9000,9001,164000
19158,58522,9000,9000,9001,164000
17428,13656,9000,9000,9001,174000
21911,42623,9000,9000,9001,174000
24759,40525,9000,9000,9001,173000
42176,69966,9000,9000,9001,233000
62444,17609,9000,9000,9001,156000
5947,51968,9000,9000,9001,153000
9287,19759,9000,9000,9001,159000
33557,71943,9000,9000,9001,170000
14954,29394,9000,9000,9001,173000
628,47896,9000,9000,9001,180000
9398,60614,9000,9000,9001,214000
6220,54245,9000,9000,9001,173000
43254,52811,9000,9000,9001,158000
39223,37323,9000,9000,9001,169000
22410,31189,9000,9000,9001,180000
9068,19908,9000,9000,9001,155000
27332,65208,9000,9000,9001,179000
10347,71774,9000,9000,9001,154000
64636,59774,9000,9000,9001,174000
64831,72913,9000,9000,9001,145000
22845,67627,9000,9000,9001,142000
1441,57042,9000,9000,9001,135000
56046,59614,9000,9000,9001,138000
37820,73491,9000,9000,9001,156000
14041,26061,9000,9000,9001,168000
51642,40799,9000,9000,9001,154000
52881,14610,9000,9000,9001,156000
35077,47607,9000,9000,9001,160000
2330,37052,9000,9000,9001,167000
16551,63355,9000,9000,9001,173000
50656,15237,9000,9000,9001,174000
11143,55371,9000,9000,9001,176000
5128,46557,9000,9000,9001,174000
57126,10861,9000,9000,9001,179000
29458,49768,9000,9000,9001,145000
6573,16720,9000,9000,9001,122000
63716,17756,9000,9000,9001,115000
16265,65165,9000,9000,9001,126000
14086,63940,9000,9000,9001,142000
15701,47777,9000,9000,9001,157000
48117,69282,9000,9000,9001,165000
35823,14322,9000,9000,9001,168000
41078,65526,9000,9000,9001,175000
36392,68914,9000,9000,9001,184000
17277,29500,9000,9000,9001,199000
41465,22201,9000,9000,9001,197000
14292,47023,9000,9000,9001,250000
11861,12128,9000,9000,9001,209000
16835,40781,9000,9000,9001,184000
55092,11698,9000,9000,9001,175000
5312,23397,9000,9000,9001,225000
65344,53714,9000,9000,9001,180000
28176,44673,9000,9000,9001,157000
31063,30007,9000,9000,9001,142000
56369,10562,9000,9000,9001,143000
35752,34413,9000,9000,9001,156000
45799,50585,9000,9000,9001,172000
49059,32376,9000,9000,9001,182000
39381,69820,9000,9000,9001,189000
63200,63089,9000,9000,9001,191000
17075,53942,9000,9000,9001,193000
56768,43762,9000,9000,9001,196000
23174,65275,9000,9000,9001,192000
44369,49974,9000,9000,9001,197000
52719,17824,9000,9000,9001,205000
10909,54105,9000,9000,9001,119000
19644,18101,9000,9000,9001,115000
36284,64001,9000,9000,9001,130000
52949,24073,9000,9000,9001,147000
59707,40470,9000,9000,9001,160000
23967,41454,9000,9000,9001,170000
44222,37739,9000,9000,9001,171000
46276,60405,9000,9000,9001,174000
46128,10486,9000,9000,9001,180000
4342,37354,9000,9000,9001,186000
14728,32827,9000,9000,9001,150000
54698,40645,9000,9000,9001,150000
401,55574,9000,9000,9001,151000
36658,64053,9000,9000,9001,154000
17253,56349,9000,9000,9001,161000
21307,23971,9000,9000,9001,169000
49558,39026,9000,9000,9001,170000
21061,63728,9000,9000,9001,176000
36905,12640,9000,9000,9001,176000
30205,67837,9000,9000,9001,178000
392,63340,9000,9000,9001,177000
20207,22246,9000,9000,9001,186000
35810,21280,9000,9000,9001,150000
32248,25629,9000,9000,9001,170000
27668,17153,9000,9000,9001,157000
10374,51108,9000,9000,9001,155000
54955,23589,9000,9000,9001,181000
10788,32872,9000,9000,9001,159000
53908,37798,9000,9000,9001,155000
46960,21234,9000,9000,9001,156000
40594,23506,9000,9000,9001,163000
37121,42309,9000,9000,9001,166000
58985,36424,9000,9000,9001,168000
39536,69665,9000,9000,9001,171000
56538,18057,9000,9000,9001,172000
42986,28882,9000,9000,9001,176000
24632,11662,9000,9000,9001,176000
30589,11918,9000,9000,9001,178000
39082,55205,9000,9000,9001,177000
36993,29192,9000,9000,9001,180000
58159,36597,9000,9000,9001,170000
7526,41021,9000,9000,9001,150000
26823,20376,9000,9000,9001,150000
32195,13748,9000,9000,9001,161000
32431,51844,9000,9000,9001,205000
41818,35102,9000,9000,9001,138000
51998,52226,9000,9000,9001,140000
33167,10308,9000,9000,9001,144000
16075,9796,9000,9000,9001,167000
35243,29311,9000,9000,9001,200000
20394,29005,9000,9000,9001,223000
39307,36801,9000,9000,9001,248000
26250,70978,9000,9000,9001,200000
30510,45994,9000,9000,9001,189000
38151,43116,9000,9000,9001,186000
56327,36588,9000,9000,9001,194000
50153,63054,9000,9000,9001,112000
35745,14816,9000,9000,9001,113000
19407,22299,9000,9000,9001,127000
11432,48526,9000,9000,9001,141000
51041,15790,9000,9000,9001,157000
4271,63594,9000,9000,9001,168000
52030,39168,9000,9000,9001,169000
39363,38305,9000,9000,9001,170000
19854,59503,9000,9000,9001,266000
9198,38868,9000,9000,9001,136000
43404,72408,9000,9000,9001,132000
41060,15007,9000,9000,9001,145000
11211,52349,9000,9000,9001,157000
27557,12258,9000,9000,9001,165000
34134,43691,9000,9000,9001,173000
33471,64308,9000,9000,9001,172000
52794,36873,9000,9000,9001,253000
2462,54377,9000,9000,9001,157000
1913,52999,9000,9000,9001,147000
33962,11884,9000,9000,9001,152000
31028,68024,9000,9000,9001,162000
27112,53409,9000,9000,9001,168000
46668,38837,9000,9000,9001,168000
59645,37073,9000,9000,9001,178000
57275,15228,9000,9000,9001,175000
47787,36988,9000,9000,9001,253000
41041,19133,9000,9000,9001,193000
37552,13123,9000,9000,9001,159000
48705,30829,9000,9000,9001,157000
25846,21158,9000,9000,9001,162000
7538,56455,9000,9000,9001,165000
4650,72119,9000,9000,9001,170000
29586,66590,9000,9000,9001,170000
47233,57939,9000,9000,9001,172000
59209,12461,9000,9000,9001,176000
1048,21264,9000,9000,9001,177000
17120,17700,9000,9000,9001,175000
46143,17377,9000,9000,9001,176000
55935,13755,9000,9000,9001,174000
4195,10688,9000,9000,9001,248000
2069,42354,9000,9000,9001,160000
55140,40208,9000,9000,9001,152000
43450,59387,9000,9000,9001,154000
40593,58979,9000,9000,9001,196000
58680,22490,9000,9000,9001,178000
47300,51064,9000,9000,9001,153000
17871,57832,9000,9000,9001,196000
50846,57139,9000,9000,9001,242000
27311,21265,9000,9000,9001,228000
43207,11227,9000,9000,9001,248000
27496,13051,9000,9000,9001,284000
60186,26705,9000,9000,9001,129000
16136,66964,9000,9000,9001,119000
23468,28080,9000,9000,9001,129000
39974,62129,9000,9000,9001,141000
18557,59014,9000,9000,9001,157000
35826,11231,9000,9000,9001,165000
57860,27058,9000,9000,9001,172000
19663,15606,9000,9000,9001,171000
8022,20476,9000,9000,9001,175000
55094,73950,9000,9000,9001,137000
33501,24221,9000,9000,9001,116000
37785,41483,9000,9000,9001,123000
45232,57618,9000,9000,9001,134000
15945,18577,9000,9000,9001,158000
12811,14137,9000,9000,9001,151000
32053,23947,9000,9000,9001,174000
18080,38627,9000,9000,9001,153000
50078,25535,9000,9000,9001,216000
52182,46598,9000,9000,9001,232000
3428,65989,9000,9000,9001,278000
60444,68079,9000,9000,9001,295000
58504,47780,9000,9000,9001,156000
16863,16383,9000,9000,9001,150000
1138,28003,9000,9000,9001,154000
14291,49473,9000,9000,9001,169000
38738,57578,9000,9000,9001,178000
57918,43816,9000,9000,9001,185000
52945,29888,9000,9000,9001,193000
54117,52839,9000,9000,9001,194000
6576,73777,9000,9000,9001,121000
40204,26887,9000,9000,9001,146000
37539,23851,9000,9000,9001,190000
56293,66597,9000,9000,9001,115000
18927,21835,9000,9000,9001,121000
1269,45864,9000,9000,9001,129000
31095,12908,9000,9000,9001,149000
16289,65983,9000,9000,9001,166000
14229,47193,9000,9000,9001,172000
63596,49825,9000,9000,9001,171000
65088,52521,9000,9000,9001,178000
14547,33542,9000,9000,9001,177000
60590,54822,9000,9000,9001,176000
49558,14710,9000,9000,9001,187000
57719,40547,9000,9000,9001,175000
37442,24126,9000,9000,9001,174000
22086,9005,9000,9000,9001,173000
48859,36805,9000,9000,9001,172000
11091,43219,9000,9000,9001,175000
39814,38130,9000,9000,9001,174000
33358,29554,9000,9000,9001,199000
39856,52595,9000,9000,9001,160000
24190,32596,9000,9000,9001,211000
27534,10174,9000,9000,9001,164000
60008,12094,9000,9000,9001,168000
62646,66956,9000,9000,9001,174000
16559,18230,9000,9000,9001,182000
6806,36788,9000,9000,9001,189000
10004,63776,9000,9000,9001,188000
14904,49414,9000,9000,9001,192000
51887,72066,9000,9000,9001,197000
1573,65058,9000,9000,9001,194000
36059,17999,9000,9000,9001,195000
25671,52611,9000,9000,9001,195000
21115,17948,9000,9000,9001,203000
33584,48502,9000,9000,9001,124000
58980,66939,9000,9000,9001,151000
53987,10249,9000,9000,9001,111000
37059,57992,9000,9000,9001,115000
57712,16514,9000,9000,9001,119000
45657,12740,9000,9000,9001,127000
40569,71127,9000,9000,9001,146000
880,17221,9000,9000,9001,155000
36970,57284,9000,9000,9001,169000
9149,11729,9000,9000,9001,177000
57470,62643,9000,9000,9001,203000
28915,60732,9000,9000,9001,161000
4094,52206,9000,9000,9001,159000
11766,69337,9000,9000,9001,157000
44149,70321,9000,9000,9001,159000
4234,48153,9000,9000,9001,169000
5343,63750,9000,9000,9001,171000
23844,58892,9000,9000,9001,175000
48740,37214,9000,9000,9001,181000
33420,19908,9000,9000,9001,177000
41502,25351,9000,9000,9001,177000
17821,24999,9000,9000,9001,197000
22524,17468,9000,9000,9001,248000
17694,47519,9000,9000,9001,158000
32083,66485,9000,9000,9001,152000
17715,21240,9000,9000,9001,158000
34985,54363,9000,9000,9001,210000
28221,36690,9000,9000,9001,166000
16465,42470,9000,9000,9001,160000
58363,17809,9000,9000,9001,156000
45489,40213,9000,9000,9001,151000
63377,33716,9000,9000,9001,143000
51891,50431,9000,9000,9001,151000
50022,72268,9000,9000,9001,158000
40371,32430,9000,9000,9001,164000
60269,58884,9000,9000,9001,172000
7239,13313,9000,9000,9001,168000
3963,49312,9000,9000,9001,175000
62869,50498,9000,9000,9001,173000
59681,25540,9000,9000,9001,173000
53448,67213,9000,9000,9001,175000
20830,42692,9000,9000,9001,177000
21291,41698,9000,9000,9001,175000
12611,69869,9000,9000,9001,215000
60053,23561,9000,9000,9001,121000
16948,16089,9000,9000,9001,122000
8048,11738,9000,9000,9001,121000
13683,33910,9000,9000,9001,132000
11862,14758,9000,9000,9001,142000
27684,12759,9000,9000,9001,158000
56744,21843,9000,9000,9001,165000
18976,57665,9000,9000,9001,168000
39511,40950,9000,9000,9001,218000
35570,12712,9000,9000,9001,166000
27115,31231,9000,9000,9001,161000
59622,14616,9000,9000,9001,158000
4746,54238,9000,9000,9001,201000
26805,14295,9000,9000,9001,132000
3947,58267,9000,9000,9001,130000
3758,70937,9000,9000,9001,135000
64352,19890,9000,9000,9001,153000
33733,48860,9000,9000,9001,163000
38027,59858,9000,9000,9001,177000
54998,27844,9000,9000,9001,168000
31480,39951,9000,9000,9001,172000
60248,50830,9000,9000,9001,184000
28683,34050,9000,9000,9001,189000
64478,42342,9000,9000,9001,178000
30387,32544,9000,9000,9001,192000
9907,20946,9000,9000,9001,198000
9702,62602,9000,9000,9001,127000
25422,42614,9000,9000,9001,137000
9346,40012,9000,9000,9001,126000
35211,22939,9000,9000,9001,143000
17402,66072,9000,9000,9001,155000
7510,53230,9000,9000,9001,166000
26731,65141,9000,9000,9001,171000
23932,49361,9000,9000,9001,174000
61607,71376,9000,9000,9001,170000
9690,62614,9000,9000,9001,177000
61667,33795,9000,9000,9001,176000
48770,45873,9000,9000,9001,175000
26663,13800,9000,9000,9001,179000
58434,67446,9000,9000,9001,200000
36163,52748,9000,9000,9001,162000
54667,36786,9000,9000,9001,160000
60243,68360,9000,9000,9001,213000
38252,12221,9000,9000,9001,133000
452,62357,9000,9000,9001,103000
21130,21225,9000,9000,9001,106000
27456,34649,9000,9000,9001,121000
63619,36212,9000,9000,9001,141000
20842,27972,9000,9000,9001,160000
9609,43088,9000,9000,9001,165000
60372,10542,9000,9000,9001,171000
20372,22937,9000,9000,9001,175000
16792,28914,9000,9000,9001,174000
42448,55254,9000,9000,9001,178000
2892,36275,9000,9000,9001,173000
57512,51689,9000,9000,9001,188000
41301,26112,9000,9000,9001,160000
44586,43108,9000,9000,9001,155000
4415,35941,9000,9000,9001,159000
1913,27218,9000,9000,9001,161000
33172,41766,9000,9000,9001,168000
63310,48648,9000,9000,9001,171000
13211,65380,9000,9000,9001,171000
49973,32571,9000,9000,9001,175000
10420,14553,9000,9000,9001,190000
54303,41919,9000,9000,9001,159000
38756,54385,9000,9000,9001,152000
47945,41930,9000,9000,9001,155000
48013,59613,9000,9000,9001,164000
49389,33581,9000,9000,9001,173000
50251,52852,9000,9000,9001,252000
33305,47419,9000,9000,9001,156000
44750,24615,9000,9000,9001,150000
15701,61720,9000,9000,9001,173000
30982,59814,9000,9000,9001,211000
31003,32660,9000,9000,9001,121000
25999,27692,9000,9000,9001,135000
39455,20734,9000,9000,9001,127000
53739,62014,9000,9000,9001,138000
1898,53152,9000,9000,9001,151000
31430,56416,9000,9000,9001,162000
40938,18121,9000,9000,9001,169000
42734,70164,9000,9000,9001,173000
48756,33159,9000,9000,9001,189000
7286,31826,9000,9000,9001,169000
49775,55198,9000,9000,9001,165000
43231,53869,9000,9000,9001,168000
51377,66990,9000,9000,9001,170000
23992,36478,9000,9000,9001,175000
28018,70720,9000,9000,9001,177000
45841,59117,9000,9000,9001,178000
22503,42563,9000,9000,9001,197000
14813,13351,9000,9000,9001,145000
32219,66865,9000,9000,9001,151000
46497,37703,9000,9000,9001,140000
19565,14797,9000,9000,9001,148000
11155,36711,9000,9000,9001,157000
14718,41977,9000,9000,9001,168000
41102,20857,9000,9000,9001,173000
39050,51727,9000,9000,9001,174000
12582,19043,9000,9000,9001,174000
