
col,row,width,height,ranges,nanos
2193,70961,22709,30341,69196,34825000
38545,68005,63688,51502,125019,79381000
13306,90561,1169,40362,31129,12072000
23500,110122,1756,56479,72349,28648000
63087,81268,9888,25236,31912,12199000
38724,67822,27810,29653,64876,43615000
51319,28427,33555,1101,14771,10631000
62977,51493,24657,26618,71729,40314000
5069,86390,31690,30599,66114,40764000
23013,77135,43188,39389,71229,37113000
58304,23119,48055,6522,26441,24435000
14183,58823,43597,8494,41510,27283000
8983,51074,25046,46850,82895,42158000
47045,83806,22586,57434,71564,37775000
32342,90577,44017,40481,37680,19668000
32303,51048,25078,648,13879,10040000
15993,57582,49550,26836,67352,51720000
21067,60532,7869,28502,62904,26716000
12346,46603,50592,43292,96558,55230000
50587,16559,28328,14550,33237,20221000
875,52875,15076,22100,32901,14585000
60123,110191,27619,47607,97803,47391000
31102,53228,18672,45926,82893,47973000
27742,83732,63500,19939,93409,73348000
27472,56979,55442,38748,75821,44643000
62533,50986,52760,46296,109014,72812000
34833,18933,17576,13909,25531,13249000
15307,51051,58346,48537,94685,54185000
28094,46803,1834,16110,25309,8937000
17836,76651,39898,56339,77903,38800000
13530,62924,7198,29740,48321,21837000
30992,70343,32353,59515,39542,20932000
52933,40323,48451,38112,106507,56805000
60554,66570,55395,37991,93386,71875000
49282,74163,965,45436,28957,12444000
58979,104203,13005,48310,104749,43785000
29599,56514,32815,10407,53630,38829000
40830,61283,42569,46030,55374,32050000
2953,85828,31268,20382,54024,33178000
46416,88735,26376,24265,32787,15504000
19543,43901,9710,21926,40170,20076000
47110,75389,31526,39696,83189,49575000
39192,26479,46176,24286,51852,31719000
41151,67775,49410,8888,38423,25356000
53220,73254,9490,60780,83086,48393000
62113,91697,41208,27817,54602,32366000
45409,64876,49375,13678,64386,46439000
37975,91323,14619,55939,114618,51052000
25543,93659,29919,48801,108822,55065000
32009,80481,40688,58057,99800,54160000
54010,68469,43150,51099,98224,54797000
21043,53434,1479,46397,94229,42774000
63275,96305,32533,57789,127779,57624000
11749,107895,37329,49078,119153,69973000
19204,12205,40414,8714,41202,30747000
38779,116768,26493,65217,156925,78517000
62810,90467,16377,54758,51303,24737000
41531,63185,44680,9910,45896,33997000
3671,103758,47260,53284,102049,61271000
65235,18935,47805,8765,32469,19259000
19252,98400,15423,64015,47429,25149000
36847,101428,30172,37070,68967,35436000
43591,66947,25685,52200,120454,58834000
48303,78951,41383,33933,80799,42272000
4300,36074,34380,14249,52191,40019000
60236,66369,4373,58840,47395,19779000
36579,2997,30203,2273,15865,12359000
49146,96777,2827,34285,35343,14259000
61879,56815,16445,24149,52924,25710000
46306,36058,58021,18534,47846,41210000
54752,96786,26947,52886,31715,22998000
31036,22032,60063,10382,50237,46048000
22197,93731,15749,51739,106431,48766000
63085,91050,15911,48987,113886,54528000
40551,5156,2304,1974,3949,1943000
50622,40314,33079,10632,35441,26824000
47024,30984,259,14661,4833,1829000
54822,85350,7726,25568,44145,21244000
52625,112129,23505,56909,122632,65675000
15215,58568,38069,32695,103460,60592000
12382,102302,64067,60132,108182,75238000
53506,80400,26381,33559,45258,31952000
33484,85583,6668,31585,41350,15574000
22464,17144,14922,9879,24955,16610000
14913,54370,49610,9501,61486,52757000
23375,60020,8667,2432,10281,5946000
28253,40902,55072,25924,80190,61845000
10071,22158,15009,22072,55402,26168000
18022,69199,6050,30997,48191,17943000
64811,42245,7399,2033,6841,3769000
58164,99152,61962,46050,104034,71262000
43281,8394,21261,2951,27164,22115000
18066,62830,33910,37869,90714,57447000
49756,48078,32005,34918,44191,27638000
29790,44494,64026,27133,104726,83772000
1002,69639,61708,20765,50431,33353000
10925,40073,60319,11969,42788,28618000
44289,101501,12110,47411,56426,28931000
1542,99295,37211,36219,41450,18414000
14357,58806,39565,38809,117184,78181000
607,89796,54908,62909,133544,86452000
5340,64111,29719,36909,26812,15355000
55903,55715,43253,50227,107213,56446000
5912,79849,13762,43084,58790,32483000
7776,67571,18187,46510,24444,15420000
11184,108451,15249,62223,38809,15804000
34801,33863,55192,1517,19522,15728000
24735,19467,21296,9615,15540,7257000
63260,61448,62417,11020,47272,37803000
38586,39292,2402,38677,60415,25911000
16726,73371,15227,29776,39291,20003000
169,102605,37877,62423,143783,90298000
14622,61239,47412,49848,101442,54650000
26577,61424,2270,46548,50866,22019000
2657,26757,63947,17912,83784,59864000
48050,43699,12800,26001,43801,20454000
35287,64987,6020,1662,5839,3546000
6819,66846,54551,22738,79571,54189000
40002,76304,49742,26470,77012,51344000
31981,59978,36701,13523,63747,42268000
64144,76810,53396,19427,74037,56516000
21913,69431,55766,61079,69252,32189000
56792,50760,28672,37719,71106,43690000
58779,75310,55804,38959,99633,69936000
49734,42005,14075,15538,26093,14068000
28513,84950,45575,37742,101120,57778000
5928,52915,48300,4132,34836,24292000
22941,55227,10793,30503,63704,30315000
31736,97610,56076,40249,101356,71215000
27346,73709,20563,37711,47992,25488000
56108,91677,13901,29103,28777,15608000
18515,96336,51091,38279,127650,83720000
33701,13299,53770,9630,43836,33046000
43159,30766,19740,10966,24811,14511000
4653,26638,3960,849,5234,3598000
53359,92281,17397,42753,90944,36040000
2940,79033,31112,43226,77367,40796000
51631,20580,23681,6059,35800,24306000
29864,49310,47293,13093,55474,49422000
38245,68509,65176,36074,102993,73816000
33365,44896,63306,7920,41797,32265000
40103,102980,38322,42739,102431,63370000
5114,42678,19850,13478,30763,20060000
60483,39678,8778,31207,55589,26743000
63293,70469,46111,28415,79886,48531000
51948,41783,62575,20256,45326,33840000
34423,88046,1204,23469,30530,10562000
44987,56351,54101,37508,102913,50643000
20830,33285,6510,13115,22927,9827000
53451,57925,58680,37760,91210,60433000
