
col,row,width,height,ranges,nanos
14732,47114,9000,9000,18000,9844000
7274,31806,9000,9000,20250,11578000
54279,56291,9000,9000,15188,7226000
2465,48765,9000,9000,20250,11096000
64419,10671,9000,9000,16031,8866000
36174,47945,9000,9000,20250,12987000
7359,32625,9000,9000,16875,9185000
2934,72625,9000,9000,20250,11288000
36207,37650,9000,9000,16875,8943000
59607,13831,9000,9000,14071,7380000
61062,10121,9000,9000,20250,13432000
43598,22404,9000,9000,19125,9916000
53612,31576,9000,9000,16031,10559000
35831,43403,9000,9000,14906,7444000
58750,44271,9000,9000,18282,8747000
25031,50151,9000,9000,14625,7515000
49761,38752,9000,9000,18562,10178000
4127,71756,9000,9000,15750,7610000
52453,50673,9000,9000,20250,11719000
61972,49737,9000,9000,18000,10189000
14996,65631,9000,9000,15890,7609000
3179,34465,9000,9000,18000,10451000
65412,62626,9000,9000,18000,10599000
22456,12558,9000,9000,16875,9364000
22447,10036,9000,9000,15750,10582000
6160,25718,9000,9000,16313,9912000
61273,38329,9000,9000,20250,12548000
36361,21099,9000,9000,19125,9867000
52252,45371,9000,9000,16875,10475000
34540,15936,9000,9000,16313,8017000
48591,15212,9000,9000,15750,7974000
8910,74396,9000,9000,19125,10591000
58524,18813,9000,9000,18000,14236000
25983,49380,9000,9000,15750,8456000
24033,28754,9000,9000,20250,13196000
7382,25357,9000,9000,20249,11543000
37434,52782,9000,9000,20250,13389000
6783,68020,9000,9000,15750,7710000
41635,54160,9000,9000,16312,7966000
49613,27423,9000,9000,18140,9239000
50028,49249,9000,9000,17999,12051000
28028,42883,9000,9000,16875,8340000
19138,53331,9000,9000,19125,10897000
59947,67156,9000,9000,16875,8167000
52728,22429,9000,9000,16875,11279000
49714,68155,9000,9000,19125,10400000
17734,62135,9000,9000,18562,10156000
4572,18150,9000,9000,18000,9545000
37818,28099,9000,9000,19125,10828000
15108,32143,9000,9000,16031,8211000
22797,39438,9000,9000,20250,12991000
29426,33678,9000,9000,20250,11746000
35208,46829,9000,9000,16875,9656000
24978,14233,9000,9000,20250,12406000
6096,61529,9000,9000,16312,10970000
45523,35713,9000,9000,18000,12056000
26332,30152,9000,9000,15891,7307000
32234,44991,9000,9000,18071,9794000
45767,9964,9000,9000,15187,7771000
61944,70914,9000,9000,16875,8854000
16691,25742,9000,9000,18000,10936000
6797,64341,9000,9000,20250,10886000
19158,58522,9000,9000,20250,12354000
17428,13656,9000,9000,16031,8090000
21911,42623,9000,9000,13675,7151000
24759,40525,9000,9000,16031,8348000
42176,69966,9000,9000,15891,9510000
62444,17609,9000,9000,18000,9991000
5947,51968,9000,9000,16313,8642000
9287,19759,9000,9000,14343,7790000
33557,71943,9000,9000,18562,9251000
14954,29394,9000,9000,20250,12022000
628,47896,9000,9000,16031,8065000
9398,60614,9000,9000,20250,15866000
6220,54245,9000,9000,18000,9600000
43254,52811,9000,9000,19125,11560000
39223,37323,9000,9000,14906,7322000
22410,31189,9000,9000,20250,10926000
9068,19908,9000,9000,16875,9147000
27332,65208,9000,9000,16031,9848000
10347,71774,9000,9000,18000,9791000
64636,59774,9000,9000,18000,11223000
64831,72913,9000,9000,16875,10329000
22845,67627,9000,9000,19125,12975000
1441,57042,9000,9000,20250,11363000
56046,59614,9000,9000,20250,12167000
37820,73491,9000,9000,16875,8229000
14041,26061,9000,9000,20250,15485000
51642,40799,9000,9000,18141,8723000
52881,14610,9000,9000,20250,12951000
35077,47607,9000,9000,18562,9534000
2330,37052,9000,9000,19125,11281000
16551,63355,9000,9000,15187,7619000
50656,15237,9000,9000,16032,11486000
11143,55371,9000,9000,15187,7623000
5128,46557,9000,9000,16875,9331000
57126,10861,9000,9000,20250,11402000
29458,49768,9000,9000,18070,11056000
6573,16720,9000,9000,18562,10674000
63716,17756,9000,9000,16875,8855000
16265,65165,9000,9000,20250,11576000
14086,63940,9000,9000,19125,10303000
15701,47777,9000,9000,20250,13452000
48117,69282,9000,9000,20250,11961000
35823,14322,9000,9000,16875,9052000
41078,65526,9000,9000,20250,11994000
36392,68914,9000,9000,16875,9353000
17277,29500,9000,9000,19125,10085000
41465,22201,9000,9000,20250,10828000
14292,47023,9000,9000,16031,7891000
11861,12128,9000,9000,18562,9989000
16835,40781,9000,9000,18000,10082000
55092,11698,9000,9000,18000,11793000
5312,23397,9000,9000,15891,8628000
65344,53714,9000,9000,15891,9472000
28176,44673,9000,9000,16313,8861000
31063,30007,9000,9000,14132,6267000
56369,10562,9000,9000,20250,12330000
35752,34413,9000,9000,16875,9597000
45799,50585,9000,9000,16312,9762000
49059,32376,9000,9000,16031,7894000
39381,69820,9000,9000,19125,10580000
63200,63089,9000,9000,16031,8840000
17075,53942,9000,9000,18000,10573000
56768,43762,9000,9000,15890,9071000
23174,65275,9000,9000,19125,12867000
44369,49974,9000,9000,20250,11723000
52719,17824,9000,9000,15188,8110000
10909,54105,9000,9000,20250,13634000
19644,18101,9000,9000,18000,9648000
36284,64001,9000,9000,18000,10326000
52949,24073,9000,9000,20250,11479000
59707,40470,9000,9000,18000,10087000
23967,41454,9000,9000,16875,10023000
44222,37739,9000,9000,19125,11356000
46276,60405,9000,9000,18000,11836000
46128,10486,9000,9000,16313,11891000
4342,37354,9000,9000,20250,17042000
14728,32827,9000,9000,15750,7924000
54698,40645,9000,9000,20250,17844000
401,55574,9000,9000,20250,11622000
36658,64053,9000,9000,20250,12028000
17253,56349,9000,9000,20250,10973000
21307,23971,9000,9000,16875,8139000
49558,39026,9000,9000,20250,12826000
21061,63728,9000,9000,18562,9888000
36905,12640,9000,9000,18563,9802000
30205,67837,9000,9000,20250,11040000
392,63340,9000,9000,15750,8387000
20207,22246,9000,9000,16875,11870000
35810,21280,9000,9000,18562,9900000
32248,25629,9000,9000,16875,10229000
27668,17153,9000,9000,18000,9913000
10374,51108,9000,9000,19125,11034000
